Sno, songs,singer,lyrics,emotion
1070,Psycho,Red Velvet,,
1071,Starry Night,MAMAMOO,,
1072,Hi High,LOONA,,
1073,Hwaa,(G)I-DLE,,
1074,Dolphin,OH MY GIRL,,
1075,Adios,Everglow,,
1076,Deja Vu,Dreamcatcher,,
1077,No,CLC,,
1078,Fancy,TWICE,,
1079,Not Shy,ITZY,,
1080,Gee,SNSD (Girls' Generation),,
1081,Pporappippam,Sunmi,,
1082,Red,HyunA,,
1083,Night Rather Than Day,EXID,,
1084,Heart Attack,AOA,,
1085,Mr. Chu,Apink,,
1086,Alone,SISTAR,,
1087,Sixth Sense,Brown Eyed Girls,,
1088,Lovey Dovey,T-ARA,,
1089,Nobody,Wonder Girls,,
1090,8282,Davichi,,
1091,Panorama,IZ*ONE,,
1092,DKDK,Fromis_9,,
1093,Picky Picky,Weki Meki,,
1094,Oopsie (My Bad),Nature,,
1095,Blue Bird,April,,
1096,Ride on the Wind,KARD,,
1097,JUICY,Rocket Punch,,
1098,Love So Sweet,Cherry Bullet,,
1099,Closer,Oh My Girl,,
1100,Navillera,GFriend,,
1101,"Save Me, Save You",WJSN,,
1102,Lion Heart,SNSD (Girls' Generation),,
1103,I'm So Sick,Apink,,
1104,Russian Roulette,Red Velvet,,
1105,Likey,TWICE,,
1106,Blood Sweat & Tears,BTS,,
1107,Hot Sauce,NCT DREAM,,
1108,Fear,SEVENTEEN,,
1109,Bonamana,Super Junior,,
1110,Hard Carry,GOT7,,
1111,Wonderland,ATEEZ,,
1112,Back Door,Stray Kids,,
1113,Beautiful,MONSTA X,,
1114,Run Away,TXT,,
1115,Voodoo Doll,VIXX,,
1116,Monster,EXO,,
1117,Millions,WINNER,,
1118,Light,Wanna One,,
1119,Mamma Mia,SF9,,
1120,Gorilla,Pentagon,,
1121,Only One for Me,BTOB,,
1122,Baby,Astro,,
1123,100,SuperM,,
1124,Lit,ONEUS,,
1125,Wannabe,Golden Child,,
1126,Flame,CRAVITY,,
1127,MMM,TREASURE,,
1128,Error,VIXX,,
1129,Sherlock,SHINee,,
1130,Make A Wish,NCT U,,
1131,Hit,Seventeen,,
1132,Lonely,B1A4,,
1133,Rhythm Ta,iKON,,
1134,Hero,Block B,,
1135,Very Good,Monsta X,,
1136,One Shot,B.A.P,,
1137,A.D.T.O.Y.,2:00 pm,,
1138,Mirotic,TVXQ,,
1139,Devil,Super Junior,,
1140,I Got A Boy,SNSD (Girls' Generation),,
1141,Last Dance,BIGBANG,,
1142,Married to the Music,SHINee,,
1143,Hawai,Maluma,,
1144,No Me Doy por Vencido,Luis Fonsi,,
1145,Quédate,David Bisbal,,
1146,Oye,Beyoncé & Pitbull,,
1147,Shaky Shaky,Daddy Yankee,,
1148,Mi Corazón Encantado,Aaron Montalvo,,
1149,Solamente Tú,Pablo Alborán,,
1150,Hasta el Amanecer,Nicky Jam,,
1151,La Tortura,Shakira feat. Alejandro Sanz,,
1152,Hawai,Maluma,,
1153,Señorita,Shawn Mendes & Camila Cabello,,
